	alpha	l1_ratio
ABL2	0.001	0.7
ACVR2A	1.0	0.05
AFF3	10.0	0.0
ALK	0.001	0.5
AMER1	0.01	0.0
APC	0.01	1.0
ARHGAP35	0.0001	0.7
ARID1A	0.01	0.7
ARID1B	1.0	0.1
ARID2	0.1	0.5
ARNT	0.001	0.7
ASXL1	0.1	0.1
ASXL2	0.0001	0.0
ATF7IP	1.0	0.1
ATM	0.0001	0.3
ATR	1.0	0.0
ATRX	0.01	0.7
BAP1	0.1	0.05
BCL6	0.01	0.05
BCL9	0.1	0.3
BCL9L	0.1	0.7
BCOR	0.0001	0.5
BCORL1	0.1	0.9
BRAF	0.1	0.3
BRCA2	0.001	0.1
BRD4	0.0001	0.7
CACNA1A	1.0	0.05
CAMTA1	0.1	0.3
CARD11	0.0001	0.7
CASP8	0.0001	0.0
CCND1	0.001	0.7
CCND2	0.01	0.05
CCNE1	0.001	1.0
CD79B	0.1	0.9
CDH1	0.001	0.0
CDH11	0.1	0.9
CDK12	10.0	0.0
CDK4	1.0	0.05
CDK6	0.0001	0.0
CDKN1A	0.0001	0.9
CDKN1B	0.01	0.0
CDKN2A	0.01	0.3
CHD3	0.001	0.0
CHD4	0.1	0.3
CHD8	0.001	1.0
CIC	0.01	0.7
CLTC	0.1	1.0
CREBBP	0.01	0.3
CTCF	10.0	0.0
CTNNB1	0.0001	0.5
CUX1	0.0001	0.9
DDR2	0.01	1.0
DDX5	0.1	1.0
DEK	0.1	0.3
DICER1	0.1	0.9
DNMT1	0.1	0.0
EGFR	0.1	0.0
ELF3	0.0001	0.1
ELK4	0.0001	1.0
EP300	1.0	0.05
ERBB2	1.0	0.05
ERBB3	0.1	0.05
ERBB4	0.1	0.1
ERCC2	0.1	1.0
ESR1	0.001	0.7
ETV1	0.01	0.0
ETV5	0.001	0.7
EZH2	0.1	0.5
FAS	0.0001	0.7
FAT1	0.001	0.9
FAT4	0.1	0.3
FBXW7	0.001	1.0
FCGR2B	0.1	0.5
FCRL4	0.01	0.9
FGFR1	0.001	0.5
FGFR2	0.0001	0.9
